,Nombre,Precio,Promo,link
0,"Refrigerador io Mabe Top Mount 15 Pies Acero Inoxidable IO1540YMXV3
sku: 619991 sku: 619991","$19,199  ",Precio regular,https://www.coppel.com/linea-blanca-electrodomesticos/cocina-linea-blanca/refrigeradores-y-congeladores/refrigerador-io-mabe-top-mount-15-pies-acero-inoxidable-io1540ymxv3-pm-6199913
1,"Congelador Whirlpool 16 Pies Blanco WC16016Q
sku: 622885 sku: 622885","$16,199  ",Precio regular,https://www.coppel.com/linea-blanca-electrodomesticos/cocina-linea-blanca/refrigeradores-y-congeladores/congelador-whirlpool-16-pies-blanco-wc16016q-pm-6228853
2,"Refrigerador Hisense Frigobar 3.3 Pies Gris RT33D6AAE
sku: 616486 sku: 616486","$5,199  ",Producto en oferta,https://www.coppel.com/linea-blanca-electrodomesticos/cocina-linea-blanca/refrigeradores-y-congeladores/refrigerador-hisense-frigobar-3-3-pies-gris-rt33d6aae-pm-6164863
3,"Refrigerador Mabe Una Puerta 8 Pies Grafito RMA0821XMXG
sku: 617067 sku: 617067","$7,299  ",Precio regular,https://www.coppel.com/linea-blanca-electrodomesticos/cocina-linea-blanca/refrigeradores-y-congeladores/refrigerador-mabe-una-puerta-8-pies-grafito-rma0821xmxg-pm-6170673
4,"Refrigerador Mabe Top Mount 10 Pies Grafito RMA1025VMXG
sku: 616801 sku: 616801","$2,029  ",Producto en oferta,https://www.coppel.com/linea-blanca-electrodomesticos/cocina-linea-blanca/refrigeradores-y-congeladores/refrigerador-mabe-top-mount-10-pies-grafito-rma1025vmxg-pm-6168013
5,"Refrigerador Mabe 19 Pies Grafito RMT1951YMXE
sku: 616672 sku: 616672","$2,029  ",Producto en oferta,https://www.coppel.com/linea-blanca-electrodomesticos/cocina-linea-blanca/refrigeradores-y-congeladores/refrigerador-mabe-19-pies-grafito-rmt1951ymxe-pm-6166723
6,"Refrigerador Mabe Top Mount 14 Pies Grafito RME1436VMXE
sku: 619345 sku: 619345","$2,029  ",Producto en oferta,https://www.coppel.com/linea-blanca-electrodomesticos/cocina-linea-blanca/refrigeradores-y-congeladores/refrigerador-mabe-top-mount-14-pies-grafito-rme1436vmxe-pm-6193453
7,"Refrigerador Mabe Top Mount 14 Pies Grafito RME1436XMXE
sku: 616834 sku: 616834","$2,029  ",Producto en oferta,https://www.coppel.com/linea-blanca-electrodomesticos/cocina-linea-blanca/refrigeradores-y-congeladores/refrigerador-mabe-top-mount-14-pies-grafito-rme1436xmxe-pm-6168343
8,"Refrigerador Mabe Top Mount 10 Pies Plata RMA1025YMXE
sku: 616613 sku: 616613","$2,029  ",Producto en oferta,https://www.coppel.com/linea-blanca-electrodomesticos/cocina-linea-blanca/refrigeradores-y-congeladores/refrigerador-mabe-top-mount-10-pies-plata-rma1025ymxe-pm-6166133
9,"Refrigerador Inverter Samsung Top Mount 14 Pies Plata RT38K5930S8
sku: 623271 sku: 623271","$11,499  ",Producto en oferta,https://www.coppel.com/refrigerador-inverter-samsung-top-mount-14-pies-plata-rt38k5930s8-pm-6232713
